Name|Version|License
---|---|---
[Masterminds/semver](https://github.com/Masterminds/semver)|v1.5.0|MIT License
[aws/aws-app-mesh-controller-for-k8s](https://github.com/aws/aws-app-mesh-controller-for-k8s)|v1.1.1|Apache License 2.0
[aws/aws-sdk-go](https://github.com/aws/aws-sdk-go)|v1.36.19|Apache License 2.0
[docker/distribution](https://github.com/docker/distribution)|v2.7.1+incompatible|Apache License 2.0
[envoyproxy/go-control-plane](https://github.com/envoyproxy/go-control-plane)|v0.9.9-0.20210115003313-31f9241a16e6|Apache License 2.0
[fatih/color](https://github.com/fatih/color)|v1.10.0|MIT License
[gertd/go-pluralize](https://github.com/gertd/go-pluralize)|v0.1.1|MIT License
[go-openapi/swag](https://github.com/go-openapi/swag)|v0.19.6|Apache License 2.0
[gobuffalo/packr](https://github.com/gobuffalo/packr)|v1.30.1|MIT License
[gogo/protobuf](https://github.com/gogo/protobuf)|v1.3.2|BSD 3-clause "New" or "Revised" License
[golang/protobuf](https://github.com/golang/protobuf)|v1.4.3|BSD 3-clause "New" or "Revised" License
[google/go-github](https://github.com/google/go-github)|v17.0.0+incompatible|BSD 3-clause "New" or "Revised" License
[iancoleman/strcase](https://github.com/iancoleman/strcase)|v0.1.3|MIT License
[linkerd/linkerd2](https://github.com/linkerd/linkerd2)|v0.5.1-0.20200402173539-fee70c064bc0|Apache License 2.0
[aurora/v3](https://github.com/logrusorgru/aurora)|v3.0.0|The Unlicense
[mitchellh/hashstructure](https://github.com/mitchellh/hashstructure)|v1.0.0|MIT License
[olekukonko/tablewriter](https://github.com/olekukonko/tablewriter)|v0.0.2|MIT License
[onsi/ginkgo](https://github.com/onsi/ginkgo)|v1.14.1|MIT License
[onsi/gomega](https://github.com/onsi/gomega)|v1.10.5|MIT License
[openservicemesh/osm](https://github.com/openservicemesh/osm)|v0.3.0|MIT License
[pkg/browser](https://github.com/pkg/browser)|v0.0.0-20180916011732-0a3d74bf9ce4|BSD 2-clause "Simplified" License
[pkg/errors](https://github.com/pkg/errors)|v0.9.1|BSD 2-clause "Simplified" License
[prometheus/client_model](https://github.com/prometheus/client_model)|v0.2.0|Apache License 2.0
[prometheus/common](https://github.com/prometheus/common)|v0.15.0|Apache License 2.0
[pseudomuto/protoc-gen-doc](https://github.com/pseudomuto/protoc-gen-doc)|v1.4.1|MIT License
[pseudomuto/protokit](https://github.com/pseudomuto/protokit)|v0.2.0|MIT License
[rotisserie/eris](https://github.com/rotisserie/eris)|v0.4.0|MIT License
[servicemeshinterface/smi-sdk-go](https://github.com/servicemeshinterface/smi-sdk-go)|v0.4.1|Apache License 2.0
[sirupsen/logrus](https://github.com/sirupsen/logrus)|v1.7.0|MIT License
[spf13/afero](https://github.com/spf13/afero)|v1.5.1|Apache License 2.0
[spf13/cobra](https://github.com/spf13/cobra)|v1.1.3|Apache License 2.0
[spf13/pflag](https://github.com/spf13/pflag)|v1.0.5|BSD 3-clause "New" or "Revised" License
[stoewer/go-strcase](https://github.com/stoewer/go-strcase)|v1.2.0|MIT License
[go.uber.org/atomic](https://go.uber.org/atomic)|v1.7.0|MIT License
[go.uber.org/zap](https://go.uber.org/zap)|v1.16.0|MIT License
[x/oauth2](https://golang.org/x/oauth2)|v0.0.0-20210201163806-010130855d6c|BSD 3-clause "New" or "Revised" License
[google.golang.org/grpc](https://google.golang.org/grpc)|v1.35.0|Apache License 2.0
[google.golang.org/protobuf](https://google.golang.org/protobuf)|v1.25.0|BSD 3-clause "New" or "Revised" License
[gopkg.in/yaml.v2](https://gopkg.in/yaml.v2)|v2.4.0|Apache License 2.0
[helm/v3](https://helm.sh/helm/v3)|v3.4.2|Apache License 2.0
[istio.io/api](https://istio.io/api)|v0.0.0-20210121191246-a7d07ed40d49|Apache License 2.0
[istio.io/client-go](https://istio.io/client-go)|v0.0.0-20200908160912-f99162621a1a|Apache License 2.0
[istio.io/istio](https://istio.io/istio)|v0.0.0-20210126155301-c18b82ae7269|Apache License 2.0
[istio.io/tools](https://istio.io/tools)|v0.0.0-20210315160310-4552b88a5091|Apache License 2.0
[k8s.io/api](https://k8s.io/api)|v0.19.7|Apache License 2.0
[k8s.io/apiextensions-apiserver](https://k8s.io/apiextensions-apiserver)|v0.19.7|Apache License 2.0
[k8s.io/apimachinery](https://k8s.io/apimachinery)|v0.19.7|Apache License 2.0
[k8s.io/client-go](https://k8s.io/client-go)|v0.19.7|Apache License 2.0
[k8s.io/kubernetes](https://k8s.io/kubernetes)|v1.13.0|Apache License 2.0
[k8s.io/utils](https://k8s.io/utils)|v0.0.0-20201110183641-67b214c5f920|Apache License 2.0
[sigs.k8s.io/controller-runtime](https://sigs.k8s.io/controller-runtime)|v0.7.0|Apache License 2.0
[cmd/goimports](https://golang.org/x/tools/cmd/goimports)|latest|MIT License
[gogo/protobuf](https://github.com/gogo/protobuf)|latest|MIT License
[envoyproxy/envoy](https://github.com/envoyproxy/envoy)|latest|Apache License 2.0
[envoyproxy/protoc-gen-validate](https://github.com/envoyproxy/protoc-gen-validate)|latest|Apache License 2.0
[paulvollmer/2gobytes](https://github.com/paulvollmer/2gobytes)|latest|MIT License
